V1,0,1,2,3,4,5,6,7,8,9,10,11,12
W97,488.060049663601,503.48644461682466,511.0032121666038,510.18161567541347,508.92655793838304,515.9798072080451,521.344131154303,525.5431918201549,527.4431195138752,531.1490745666416,534.2972151387988,535.7868143455727,534.749642527232
W98,612.8120677123401,621.0780923071819,629.1021117431774,622.088402942329,616.4666392775238,615.7707698650163,618.7808727736857,617.3734188000492,614.1949693018486,612.062917689849,611.8816135615172,608.026633994896,600.9159107509213
W104,1186.699656934225,1174.240848905084,1166.7338056114584,1165.1645265819864,1162.4738922841038,1156.9487100027131,1152.4591633738385,1150.050338022903,1148.3056340738133,1146.5825928698998,1145.1935892561698,1143.444075381054,1142.743827997983
W128,3589.371418559718,3540.341642750013,3491.237940058804,3517.3356995134345,3543.2899401045247,3508.714017154301,3483.3889706824616,3499.069695018973,3500.5805442393807,3490.3779199306864,3505.6451281143004,3489.0216374078154,3500.9796872044826
W134,11906.592742548626,11894.110424453153,11831.22977356724,11847.225994243476,11845.87389147505,11842.176996395332,11824.442504097753,11834.26148235158,11846.512394990297,11853.690203362481,11867.847774175243,11873.088549633338,11886.951037679384
W135,5909.996108125355,5897.826700656508,5886.823404329039,5881.5303930670725,5873.068735565607,5862.856306999941,5863.234129385254,5862.01841335334,5858.034714390022,5855.755688128995,5852.303922992434,5849.277429427831,5847.080544526288
W147,163.5091656397378,155.52798816893358,155.66767440354883,162.35576360589369,155.04229772158115,146.3773070970907,140.21649710856593,136.08766487710048,127.31242395691739,115.12475988062343,106.58850176600666,98.35164298803227,89.85425618278333
W149,4976.513065528392,4961.428700255141,4941.250101278181,4957.32672936884,4930.321491947834,4921.665204292225,4923.962090740883,4910.1778768583135,4915.18363203539,4907.834607042193,4920.0285707203175,4922.664025325334,4935.433988747692
W188,2395.6333417030505,2410.101504081183,2404.7836052861517,2415.092859225836,2427.2407915634712,2444.688334686967,2443.890508062294,2436.391055146573,2448.1675550840478,2449.116771217791,2451.9992352942345,2447.67974444371,2445.8908446375663
W189,1976.1892433806938,1942.9484642593616,1934.5560193365754,1970.202115579891,1972.5847931277265,1955.3974109634212,1951.814958940817,1973.873325417301,1979.0088040001133,1985.996624566113,1978.711918340783,1979.7182130972542,1979.99969680886
W194,627.3985200544471,583.1668648456017,550.4013049159515,521.6659545513143,492.61985769295165,473.9099352260471,456.9670430511153,442.18487185585786,426.6066167397362,418.86272693792245,413.38631962044246,405.4408894040204,399.0147101882747
W226,4168.500852407264,4100.622958068564,4111.799915890173,4096.044044241336,4027.937305900686,3994.675129941116,4017.2782727072276,4012.6630347318796,3964.662028822146,3963.81790853658,3970.8696408424566,3988.8472096502833,3998.758065687207
W227,2030.964999436106,1989.227006790456,1996.593512190048,1962.954590911271,1940.1813783111845,1926.0581957549518,1937.3096714734581,1931.7294427416161,1921.7282791427058,1922.2965632799205,1921.3855623431446,1924.8287499284638,1921.8042608748851
W234,2459.544087501778,2681.832252831121,2834.7835116170795,2952.766819979781,3076.3389733284644,3168.9464636890266,3236.7269930949155,3274.718299617719,3320.1084325836596,3345.907366579374,3340.7742665946216,3333.866201648734,3325.5420908259166
W245,2963.6293182469353,2987.8025416524197,2958.4671967922104,2928.2348975678824,2947.852589878287,2963.097035623967,2952.665085548333,2931.5234024519636,2928.86974967301,2935.793590245658,2936.8722697720996,2931.751983043192,2932.1516369133965
W248,16405.97457708623,16189.896529288262,16714.491395142355,16662.594830930633,16062.653858428092,15939.865327672753,16242.998651904347,16244.158595360142,15939.500974790415,15827.903709525506,15983.633242671047,16028.334307577985,15897.977285496549
W273,5994.09267892487,6052.419683507514,6095.063423006222,6114.660274267178,6141.563388118387,6185.264265607447,6214.422712162385,6237.1785388535345,6266.688259053065,6287.303075391676,6333.00978731082,6366.339024180415,6404.7231962342275
W276,11894.899623550486,11829.176320256263,11796.90116995181,11728.091401474456,11620.18113766391,11552.868816597855,11520.642478070626,11444.33428995949,11465.264382727573,11398.948657281533,11462.75429422322,11460.886293915044,11483.949915211606
W280,5447.27272045967,5463.299646142042,5476.040258312991,5493.372981445221,5503.598001110779,5513.035391930933,5519.603886644012,5526.836061457545,5532.685511092136,5537.695749642804,5541.227830809533,5544.495827789759,5548.185668256043
W291,9286.008897058968,9029.496789042498,8827.02398073253,8740.460137637521,8553.72461117512,8373.630335581145,8344.243834951109,8344.84796119833,8232.296344845283,8265.697078184809,8271.55420628715,8306.002333163171,8304.083921989417
W297,4950.361829476479,5021.369794138253,5242.49475277717,5426.867785611816,5333.455884778608,5284.280219037744,5412.773552111756,5619.692021506358,5497.769652251321,5402.6088033646065,5367.2590959061545,5376.448767419933,5367.557792252594
W317,3307.412115758681,3385.848385204825,3561.981272859009,3686.749566989941,3590.0663621252997,3498.5457800483,3567.1848046353575,3684.8679061548605,3631.87061657482,3500.0501012561945,3445.8740832776393,3445.5495589866214,3446.8757429190605
W323,3493.1988854606593,3412.071071268662,3715.835703063707,4091.2423340840887,4040.073297198657,3952.917001279624,4034.817400949022,4073.0371216387584,4011.6278055279636,3878.682263097146,3865.24536194347,3878.9280360783596,3882.7979573112357
W339,3273.743171655196,3279.073820659454,3487.8717373488353,3662.7604782109775,3666.676247682297,3594.2563313386354,3636.228179441644,3743.8551373055907,3725.9864265678234,3628.9115206756696,3581.180893778053,3575.9154049620556,3581.266329372003
W351,1676.5455762951835,1732.4602616829686,1777.6253685832626,1848.5576179732302,1845.629770293779,1834.231495361676,1855.2576618579396,1901.5536986011346,1895.977520775874,1861.320787934744,1837.2346447839498,1833.9109535472182,1830.001511651944
W355,1704.742378255569,1664.141244583653,1650.9367516305433,1661.932361898735,1663.5864865801773,1647.8012568035801,1644.4582405903418,1644.2977948151054,1633.7532898288368,1627.7571958301944,1625.9983387113502,1622.5844931383845,1619.2341348573698
